SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
322,01/29/2020,Guangdong,Mainland China,2020/01/29 19:30,277,0,5
323,01/29/2020,Hunan,Mainland China,2020/01/29 19:30,221,0,0
324,01/29/2020,Henan,Mainland China,2020/01/29 19:30,206,2,1
325,01/29/2020,Anhui,Mainland China,2020/01/29 19:30,152,0,2
326,01/29/2020,Chongqing,Mainland China,2020/01/29 19:30,147,0,1
327,01/29/2020,Shandong,Mainland China,2020/01/29 19:30,130,0,1
328,01/29/2020,Beijing,Mainland China,2020/01/29 19:30,111,1,4
329,01/29/2020,Jiangxi,Mainland China,2020/01/29 19:30,109,0,3
330,01/29/2020,Sichuan,Mainland China,2020/01/29 19:30,108,1,1
331,01/29/2020,Jiangsu,Mainland China,2020/01/29 19:30,99,0,1
332,01/29/2020,Shanghai,Mainland China,2020/01/29 19:30,96,1,5
333,01/29/2020,Fujian,Mainland China,2020/01/29 19:30,84,0,0
334,01/29/2020,Guangxi,Mainland China,2020/01/29 19:30,58,0,2
335,01/29/2020,Shaanxi,Mainland China,2020/01/29 19:30,56,0,0
336,01/29/2020,Yunnan,Mainland China,2020/01/29 19:30,55,0,0
337,01/29/2020,Hebei,Mainland China,2020/01/29 19:30,48,1,0
338,01/29/2020,Hainan,Mainland China,2020/01/29 19:30,43,1,0
339,01/29/2020,Liaoning,Mainland China,2020/01/29 19:30,39,0,1
340,01/29/2020,Heilongjiang,Mainland China,2020/01/29 19:30,38,1,0
341,01/29/2020,Tianjin,Mainland China,2020/01/29 19:30,27,0,0
342,01/29/2020,Shanxi,Mainland China,2020/01/29 19:30,27,0,1
343,01/29/2020,Gansu,Mainland China,2020/01/29 19:30,24,0,0
344,01/29/2020,Inner Mongolia,Mainland China,2020/01/29 19:30,16,0,0
345,01/29/2020,Xinjiang,Mainland China,2020/01/29 19:30,13,0,0
346,01/29/2020,Ningxia,Mainland China,2020/01/29 19:30,12,0,0
347,01/29/2020,Hong Kong,Hong Kong,2020/01/29 19:30,10,0,0
348,01/29/2020,Guizhou,Mainland China,2020/01/29 19:30,9,0,1
349,01/29/2020,Jilin,Mainland China,2020/01/29 19:30,9,0,0
350,01/29/2020,Taiwan,Taiwan,2020/01/29 19:30,8,0,0
351,01/29/2020,Macau,Macau,2020/01/29 19:30,7,0,0
352,01/29/2020,Qinghai,Mainland China,2020/01/29 19:30,6,0,0
353,01/29/2020,Washington,US,2020/01/29 19:30,1,0,0
354,01/29/2020,Illinois,US,2020/01/29 19:30,1,0,0
355,01/29/2020,California,US,2020/01/29 19:30,2,0,0
356,01/29/2020,Arizona,US,2020/01/29 19:30,1,0,0
357,01/29/2020,,Japan,2020/01/29 19:30,7,0,1
358,01/29/2020,,Thailand,2020/01/29 19:30,14,0,5
359,01/29/2020,,South Korea,2020/01/29 19:30,4,0,0
360,01/29/2020,,Singapore,2020/01/29 19:30,7,0,0
361,01/29/2020,,Vietnam,2020/01/29 19:30,2,0,0
362,01/29/2020,,France,2020/01/29 19:30,5,0,0
363,01/29/2020,,Nepal,2020/01/29 19:30,1,0,0
364,01/29/2020,,Malaysia,2020/01/29 19:30,7,0,0
365,01/29/2020,Ontario,Canada,2020/01/29 19:30,1,0,0
366,01/29/2020,British Columbia,Canada,2020/01/29 19:30,1,0,0
367,01/29/2020,,Cambodia,2020/01/29 19:30,1,0,0
368,01/29/2020,,Sri Lanka,2020/01/29 19:30,1,0,0
369,01/29/2020,New South Wales,Australia,2020/01/29 19:30,4,0,0
370,01/29/2020,Victoria,Australia,2020/01/29 19:30,1,0,0
371,01/29/2020,Bavaria,Germany,2020/01/29 19:30,4,0,0
372,01/29/2020,,Finland,2020/01/29 19:30,1,0,0
373,01/29/2020,,United Arab Emirates,2020/01/29 19:30,4,0,0
374,01/30/2020,Hubei,Mainland China,2020/01/30 16:00,4903,162,90
375,01/30/2020,Zhejiang,Mainland China,2020/01/30 16:00,428,0,4
376,01/30/2020,Guangdong,Mainland China,2020/01/30 16:00,354,0,10
377,01/30/2020,Henan,Mainland China,2020/01/30 16:00,278,2,2
